Argument ID	WA	MACE-P	stance_WA	stance_WA_conf
A09077	0.905126607	0.934571139	-1	1
A09079	1	0.74012036	-1	0.801940805
A09080	0.903690382	0.909411903	-1	0.905601153
A09081	0.892554639	0.793943198	1	1
A09082	1	0.981447825	1	0.888368797
A09083	1	0.962361876	1	1
A09084	0.556621635	0.004745275	-1	1
A09085	0.782383601	0.220756397	-1	1
A09086	1	0.959302839	-1	1
A09087	1	0.964499955	-1	1
A09088	1	0.933528877	1	1
A09089	0.762456926	0.378692324	1	1
A09090	0.692558399	0.295015135	1	1
A09091	0.597429956	0.001589441	1	0.514057457
A09092	0.90093031	0.895946878	-1	1
A09093	0.870789685	0.829420449	1	1
A09094	0.659954737	0.005845414	1	1
A09096	0.73062834	0.95724402	-1	0.903881334
A09097	0.665951035	0.487372017	-1	1
A09098	0.66038333	0.150187153	1	1
A09099	0.683960441	0.135927582	-1	1
A09100	0.536294382	0.038474322	1	0.90059143
A10001	0.603986438	0.053008008	1	1
A10002	0.871048749	0.529015376	1	1
A10003	1	0.984211204	1	1
A10004	0.859061263	0.705202498	-1	0.928163875
A10005	0.818812303	0.978102566	1	1
A10006	1	0.905427593	-1	0.902668319
A10007	0.880462676	0.472471093	-1	1
A10008	0.655183913	0.74721969	1	0.707509976
A10009	0.767359003	0.731040647	-1	0.909372838
A10010	0.819514436	0.720116382	-1	1
A10011	0.578850861	0.019327415	1	0.798627126
A10012	0.869199258	0.99969179	-1	1
A10013	0.782340587	0.411073798	1	1
A10014	0.978669596	0.885053976	1	1
A10015	1	0.906718569	-1	1
A10016	0.851744448	0.984748617	1	1
A10017	0.595952562	0.248396568	-1	1
A10018	0.787245739	0.207321258	1	1
A10019	0.885334196	0.806875097	1	1
A10020	0.87605774	0.615468221	-1	1
A12001	0.913841055	0.925623988	1	0.911047607
A12002	0.871875007	0.995792762	-1	1
A12003	0.897690793	0.853588667	1	1
A12004	0.888442858	0.881137204	1	1
A12005	0.913259364	0.769293808	1	1
A12006	0.956081188	0.900692866	1	1
A12007	0.793972078	0.728586543	1	0.808877279
A12008	1	0.970212344	1	1
A12009	0.747692023	0.002443045	1	1
A12010	0.952942854	0.970762332	-1	1
A12012	0.797849359	0.804565676	1	1
A12014	0.873401888	0.854050693	-1	0.928758086
A12015	1	0.963533273	1	1
A12016	0.860370509	0.647079476	-1	0.892453421
A12017	1	0.999611433	1	1
A12018	1	0.929352735	1	1
A12019	0.906591417	0.829620333	-1	1
A12021	0.845074949	0.75352151	1	1
A12022	1	0.816485262	1	1
A12023	1	0.824703495	-1	0.927804834
A12024	0.9192974	0.742523977	1	1
A12025	1	0.999185329	1	1
A12026	0.874949881	0.839974166	-1	1
A12027	0.734150357	0.424261408	-1	1
A12028	0.795682011	0.800135588	-1	1
A12029	0.866743817	0.899370221	-1	1
A12030	0.877111959	0.67451348	1	1
A12031	0.627646931	0.108046744	1	0.90930991
A12032	0.548157092	0.034113088	-1	1
A12033	0.86472174	0.998685895	1	1
A12036	0.866170303	0.649283845	-1	1
A12037	0.74845162	0.324199017	-1	1
A12038	0.880165821	0.729503221	1	1
A12039	0.621412727	0.113840554	1	1
A12040	0.947479943	0.999079577	-1	1
A12041	0.904988967	0.95320592	1	1
A12042	0.558705844	0.047263454	1	0.88545258
A12043	0.649032529	0.407478516	1	1
A12044	0.873126469	0.999663349	1	0.904889808
A12045	0.695460692	0.168134819	-1	0.928374732
A12046	0.926890568	0.934509223	-1	1
A12047	1	0.908991126	1	1
A12048	0.616430514	0.148682157	1	0.665840949
A12049	0.650548228	0.146137476	-1	0.927570182
A12050	0.934961343	0.675459469	1	0.92074029
A12051	1	0.658719037	1	0.901073644
A12052	1	0.912895087	-1	1
A12053	0.771885023	0.473105511	-1	1
A12055	0.782476737	0.187233118	-1	1
A12056	1	0.912356161	1	1
A12057	0.897222756	0.915696193	1	1
A12058	1	0.999951133	1	1
A12059	0.927083458	0.85292462	1	1
A12060	0.517058292	0.202322077	-1	1
A12061	0.871986195	0.748269367	1	0.903581223
A12062	0.809127073	0.632028756	1	1
A12063	1	0.999071894	1	1
A12064	1	0.999406113	1	1
A12065	0.762156619	0.334509448	1	1
A12066	0.522696245	0.037997003	-1	0.812128811
A12067	0.890223616	0.999768746	1	1
A12068	0.821884843	0.797444465	-1	1
A12069	0.636587843	0.001119298	-1	0.928652254
A12070	1	0.990608437	1	1
A12071	0.65906932	0.418694775	-1	1
A12072	0.514864143	0.011672516	1	0.898046358
A12075	1	0.954270613	-1	1
A12076	1	0.982759796	1	1
A12077	0.716648202	0.480195538	-1	1
A12078	0.754553758	0.373753028	1	0.895592404
A12079	0.941371671	0.997408985	-1	1
A12080	0.58685132	0.020600344	-1	1
A12082	0.793793153	0.434001849	1	0.902971162
A12083	0.860306636	0.718936704	-1	1
A12085	0.587828351	0.023797363	-1	0.685998402
A12086	0.875445895	0.950241072	-1	1
A12087	0.861524267	0.501237207	1	1
A12088	0.779774676	0.454045263	1	1
A12089	0.834715946	0.652078778	1	1
A12090	0.976972744	0.79009823	1	1
A12091	0.718643255	0.852109224	1	1
A12092	0.685532278	0.284493983	1	1
A12094	0.710087275	0.065458086	-1	0.898893515
A12095	0.911370274	0.861870736	-1	1
A12096	1	0.955625655	-1	1
A12097	0.909802024	0.675716997	-1	1
A12099	0.705092566	0.608464556	-1	1
A12100	0.942709741	0.846571505	-1	1
A12102	1	0.999941927	1	1
A12103	0.970195732	0.910417738	1	1
A12104	0.524268373	0.112413858	-1	1
A12105	1	0.643036045	1	0.813478779
A12106	0.723918461	0.759063912	-1	1
A12107	0.865980347	0.619487271	-1	0.892701944
A12108	0.685160008	0.331292221	1	0.905263133
A12109	0.859225452	0.794501248	1	1
A12110	0.909012494	0.672483541	-1	1
A12111	0.828751022	0.708719377	-1	1
A12112	0.739327774	0.808745811	-1	1
A12113	0.738224752	0.167469259	-1	1
A12115	0.545732577	0.438577509	-1	1
A12116	0.834367889	0.920375318	-1	1
A12117	0.766770239	0.976286744	1	1
A12118	0.713188226	0.149783013	1	1
A12119	0.901699674	0.895345991	-1	0.896558763
A12121	0.613345189	0.439492431	-1	0.926554996
A12122	0.931763181	0.850172778	-1	1
A12123	0.734292014	0.559060405	-1	1
A12124	0.796823253	0.615870382	-1	1
A12125	0.622155646	0.034998782	-1	0.893855177
A12126	0.65453424	0.233950841	-1	1
A12128	0.895495234	0.873722946	1	1
A12129	0.834397629	0.996673372	-1	0.885404871
A12130	0.63692876	0.43120589	-1	0.829458236
A12131	0.900007918	0.817456297	-1	1
A12132	0.686608164	0.18699881	1	1
A12133	0.743648511	0.940198873	1	1
A12135	0.669647694	0.28495964	1	0.9004529
A12136	0.863057501	0.638496224	-1	0.832282229
A12138	0.911437655	0.835291463	-1	1
A12139	0.772727841	0.156141718	1	0.908229675
A12140	0.760324785	0.438083554	-1	1
A12143	0.781010175	0.572085133	1	1
A12145	0.805919773	0.700760668	1	1
A12146	1	0.952887792	1	1
A12147	0.604343067	0.035215946	1	0.895729849
A12148	0.812549484	0.542960746	-1	1
A12149	0.92388056	0.893624882	1	1
A12150	0.862162765	0.410357142	1	0.907763477
A12151	0.861566133	0.985196334	1	1
A12152	0.702313155	0.153985648	-1	1
A12153	0.879109365	0.614354507	1	1
A12154	0.793477624	0.538215073	-1	0.927648055
A12155	0.917534683	0.999520546	1	1
A12156	1	0.976048264	-1	0.926560505
A12157	0.933046125	0.955649144	1	1
A12158	0.757419572	0.083226723	1	1
A12161	0.753672276	0.605164231	-1	1
A12162	0.941579223	0.88290451	-1	0.928133367
A12163	1	0.955981841	-1	0.908268894
A12164	1	0.934771029	-1	1
A12165	0.63308081	0.007733773	-1	0.927083925
A12166	0.77027318	0.843600243	-1	1
A12167	0.634738608	0.149682087	-1	0.78017864
A12169	0.910433464	0.590429668	1	1
A12170	0.864450668	0.576022745	1	1
A12171	1	0.967980769	-1	1
A12172	0.736474691	0.113519435	-1	1
A12173	0.963060941	0.810971042	1	1
A12174	0.688182188	0.846665988	1	1
A12175	0.821296552	0.858385006	-1	1
A12176	1	0.937755808	-1	1
A12177	0.763399113	0.710919869	-1	1
A12178	0.859117128	0.848054643	1	1
A12179	0.875530767	0.924370127	-1	0.890245604
A12181	0.83821734	0.724444566	1	1
A12182	1	0.900927328	1	0.907959256
A12183	1	0.678525003	1	0.897126244
A12184	1	0.837816897	1	1
A12185	1	0.966557806	1	1
A12186	0.978775012	0.988367376	1	1
A12187	0.759828959	0.455599673	-1	1
A12188	0.900490311	0.783224902	1	1
A12189	0.749710695	0.186925829	-1	1
A12191	0.808298309	0.575149593	-1	0.911172606
A12192	0.58732284	0.040196883	-1	0.816744138
A12193	0.888918492	0.937525428	1	1
A12194	1	0.962527143	-1	1
A12195	1	0.896202072	1	1
A12196	1	0.992593013	1	1
A12197	1	0.969133897	1	1
A12198	0.944156289	0.959093196	-1	1
A12199	0.736808909	0.336910348	-1	0.800210165
A12200	0.695622276	0.090210215	1	1
A12203	0.896861792	0.414508162	1	1
A12204	0.60460772	0.004124835	-1	0.92902758
A12206	0.87714687	0.997974256	-1	1
A12207	0.851093367	0.932237377	-1	1
A12209	0.905192677	0.814789004	1	1
A12210	0.878728895	0.618744261	1	1
A12211	0.932963181	0.999577852	-1	1
A12212	0.884149132	0.80416835	1	0.903266219
A12213	0.715067384	0.55891001	1	0.90007823
A12214	0.627155144	0.526678673	-1	1
A12215	0.900033335	0.732912173	1	1
A12216	1	0.880947455	-1	0.819635165
A12217	0.695492147	0.614461863	1	1
A12218	0.857645469	0.987832802	1	0.90696855
A12220	0.815438961	0.555404523	-1	0.818679873
A12221	0.590128061	0.166465041	1	1
A12222	0.868362314	0.859028034	-1	0.894828412
A12223	0.511853539	0.092013543	-1	1
A12224	0.895825362	0.921243216	-1	1
A12225	0.818311229	0.97626545	-1	1
A12226	0.871265787	0.945020622	1	1
A12227	0.913459536	0.956752955	1	1
A12228	1	0.996071315	-1	1
A12229	0.733143709	0.129966068	-1	0.927843635
A12230	1	0.898100351	1	1
A12231	0.904988967	0.95320592	1	1
A12232	0.765397142	0.343331178	1	1
A12233	0.823856045	0.768837743	1	0.811916622
A12234	0.626637838	0.088795996	-1	0.794875944
A12235	0.8495939	0.535935616	1	0.575997659
A12236	1	0.996904945	1	1
A12238	0.879106565	0.841024327	-1	1
A12239	0.748268377	0.1854779	-1	1
A12240	1	0.998866226	1	1
A12241	0.940658395	0.925014623	-1	1
A12242	0.805038258	0.893124271	-1	1
A12244	0.911668659	0.755946862	-1	1
A12245	0.652388924	0.131566387	-1	0.896478944
A12248	0.790372649	0.829092169	-1	0.810111522
A12249	0.90883403	0.986381105	-1	1
A12250	0.7396105	0.379226452	1	0.890419453
A12251	0.678590679	0.475718956	1	0.903551045
A12252	0.859019463	0.811034202	1	1
A12253	0.768919213	0.2043133	-1	1
A12254	0.911797894	0.889303926	-1	1
A12256	0.63036962	0.124538281	-1	1
A12257	0.701444498	0.307224619	1	1
A12258	0.778109293	0.397187139	1	1
A12259	0.899910585	0.752387278	1	1
A12260	1	0.984258951	-1	0.720455401
A12261	0.779365629	0.635305223	-1	1
A12262	0.969407421	0.932785902	1	0.89910929
A12264	0.873261884	0.591449197	-1	0.815817373
A12265	0.903368299	0.707574868	1	1
A12266	1	0.989847844	-1	1
A12267	0.850048265	0.8934183	-1	1
A12268	0.778722776	0.822088954	-1	1
A12269	0.531106003	0.137280163	-1	0.819521556
A12272	0.775133925	0.199005606	1	1
A12273	0.664696754	0.004549642	-1	1
A12274	1	0.851178966	-1	1
A12275	0.956295733	0.821853101	1	1
A12276	0.911933843	0.685842411	1	1
A12277	0.701964183	0.330024436	-1	1
A12278	0.712994744	0.630014617	-1	1
A12279	0.880155558	0.698632388	1	0.906488625
A12280	1	0.894294367	-1	0.897734137
A12283	0.509363746	0.001970283	1	0.896457509
A12285	0.866048974	0.465867344	1	1
A12286	0.725852792	0.53489	1	1
A12287	1	0.980412968	1	0.901338069
A12288	0.596624054	0.015146439	1	1
A12289	1	0.974044356	1	1
A12290	0.635028754	0.036028632	1	0.898339006
A12291	1	0.893684327	1	1
A12292	0.846691469	0.665613002	-1	1
A12293	1	0.743322396	1	1
A12294	0.880519006	0.959566641	1	0.898252211
A12295	0.848973747	0.454863824	-1	1
A12296	0.771495082	0.368899084	1	0.82418834
A12297	0.908451119	0.863462175	1	1
A12298	1	0.904518339	-1	1
A12299	1	0.930285572	1	1
A12300	0.743525101	0.377496255	-1	0.928410115
A12301	1	0.914150685	-1	0.927523163
A12302	0.882374494	0.882416317	-1	0.899590824
A12303	0.895074661	0.760850064	1	0.91018011
A12304	0.913534896	0.765285698	1	1
A12305	1	0.999952245	-1	0.928124771
A12306	0.879711553	0.873263652	1	1
A12307	0.889862899	0.97383166	1	1
A12308	0.921488357	0.959618552	-1	1
A12309	0.745275847	0.579195791	-1	1
A12310	1	0.927175119	1	0.901811642
A12312	1	0.999907522	1	1
A12313	1	0.999981202	1	1
A12314	0.937520844	0.968828476	1	1
A12315	0.663677835	0.076129248	-1	0.727050929
A12316	0.542672322	0.015338308	1	1
A12317	0.639162597	0.06339583	-1	1
A12318	1	0.986973057	1	1
A12319	0.878940731	0.904505527	-1	1
A12320	0.85389161	0.881984676	-1	1
A12321	0.904867949	0.928957377	1	1
A12322	0.820899261	0.607191571	-1	0.901437251
A12325	0.877625777	0.923434696	1	1
A12326	0.5863979	0.135525963	1	1
