	value
353	Humility
354	Benevolence: caring
355	Benevolence: dependability
356	Universalism: concern
357	Universalism: nature
358	Universalism: tolerance
359	Universalism: objectivity
360	Self-direction: thought
361	Self-direction: action
362	Stimulation
363	Hedonism
364	Achievement
365	Power: dominance
366	Power: resources
367	Face
368	Security: personal
369	Security: societal
370	Tradition
371	Conformity: rules
372	Conformity: interpersonal
373	Humility
374	Benevolence: caring
375	Benevolence: dependability
376	Universalism: concern
377	Universalism: nature
378	Universalism: tolerance
379	Universalism: objectivity
380	Self-direction: thought
381	Self-direction: action
382	Stimulation
383	Hedonism
384	Achievement
385	Power: dominance
386	Power: resources
387	Face
388	Security: personal
389	Security: societal
390	Tradition
391	Conformity: rules
392	Conformity: interpersonal
393	Humility
394	Benevolence: caring
395	Benevolence: dependability
396	Universalism: concern
397	Universalism: nature
398	Universalism: tolerance
399	Universalism: objectivity
400	Self-direction: thought
401	Self-direction: action
402	Stimulation
403	Hedonism
404	Achievement
405	Power: dominance
406	Power: resources
407	Face
408	Security: personal
409	Security: societal
410	Tradition
411	Conformity: rules
412	Conformity: interpersonal
413	Humility
414	Benevolence: caring
415	Benevolence: dependability
416	Universalism: concern
417	Universalism: nature
418	Universalism: tolerance
419	Universalism: objectivity
420	Self-direction: thought
421	Self-direction: action
422	Stimulation
423	Hedonism
424	Achievement
425	Power: dominance
426	Power: resources
427	Face
428	Security: personal
429	Security: societal
430	Tradition
431	Conformity: rules
432	Conformity: interpersonal
433	Humility
434	Benevolence: caring
435	Benevolence: dependability
436	Universalism: concern
437	Universalism: nature
438	Universalism: tolerance
439	Universalism: objectivity
440	Self-direction: thought
441	Self-direction: action
442	Stimulation
443	Hedonism
444	Achievement
445	Power: dominance
446	Power: resources
447	Face
448	Security: personal
449	Security: societal
450	Tradition
451	Conformity: rules
452	Conformity: interpersonal
453	Humility
454	Benevolence: caring
455	Benevolence: dependability
456	Universalism: concern
457	Universalism: nature
458	Universalism: tolerance
459	Universalism: objectivity
460	Self-direction: thought
461	Self-direction: action
462	Stimulation
463	Hedonism
464	Achievement
465	Power: dominance
466	Power: resources
467	Face
468	Security: personal
469	Security: societal
470	Tradition
471	Conformity: rules
472	Conformity: interpersonal
473	Humility
474	Benevolence: caring
475	Benevolence: dependability
476	Universalism: concern
477	Universalism: nature
478	Universalism: tolerance
479	Universalism: objectivity
480	Self-direction: thought
481	Self-direction: action
482	Stimulation
483	Hedonism
484	Achievement
485	Power: dominance
486	Power: resources
487	Face
488	Security: personal
489	Security: societal
490	Tradition
491	Conformity: rules
492	Conformity: interpersonal
493	Humility
494	Benevolence: caring
495	Benevolence: dependability
496	Universalism: concern
497	Universalism: nature
498	Universalism: tolerance
499	Universalism: objectivity
500	Self-direction: thought
501	Self-direction: action
502	Stimulation
503	Hedonism
504	Achievement
505	Power: dominance
506	Power: resources
507	Face
508	Security: personal
509	Security: societal
510	Tradition
511	Conformity: rules
512	Conformity: interpersonal
513	Humility
514	Benevolence: caring
515	Benevolence: dependability
516	Universalism: concern
517	Universalism: nature
518	Universalism: tolerance
519	Universalism: objectivity
520	Self-direction: thought
521	Self-direction: action
522	Stimulation
523	Hedonism
524	Achievement
525	Power: dominance
526	Power: resources
527	Face
528	Security: personal
529	Security: societal
530	Tradition
531	Conformity: rules
532	Conformity: interpersonal
533	Humility
534	Benevolence: caring
535	Benevolence: dependability
536	Universalism: concern
537	Universalism: nature
538	Universalism: tolerance
539	Universalism: objectivity
540	Self-direction: thought
541	Self-direction: action
542	Stimulation
543	Hedonism
544	Achievement
545	Power: dominance
546	Power: resources
547	Face
548	Security: personal
549	Security: societal
550	Tradition
551	Conformity: rules
552	Conformity: interpersonal
553	Humility
554	Benevolence: caring
555	Benevolence: dependability
556	Universalism: concern
557	Universalism: nature
558	Universalism: tolerance
559	Universalism: objectivity
560	Self-direction: thought
561	Self-direction: action
562	Stimulation
563	Hedonism
564	Achievement
565	Power: dominance
566	Power: resources
567	Face
568	Security: personal
569	Security: societal
570	Tradition
571	Conformity: rules
572	Conformity: interpersonal
573	Humility
574	Benevolence: caring
575	Benevolence: dependability
576	Universalism: concern
577	Universalism: nature
578	Universalism: tolerance
579	Universalism: objectivity
580	Self-direction: thought
581	Self-direction: action
582	Stimulation
583	Hedonism
584	Achievement
585	Power: dominance
586	Power: resources
587	Face
588	Security: personal
589	Security: societal
590	Tradition
591	Conformity: rules
592	Conformity: interpersonal
593	Humility
594	Benevolence: caring
595	Benevolence: dependability
596	Universalism: concern
597	Universalism: nature
598	Universalism: tolerance
599	Universalism: objectivity
600	Self-direction: thought
601	Self-direction: action
602	Stimulation
603	Hedonism
604	Achievement
605	Power: dominance
606	Power: resources
607	Face
608	Security: personal
609	Security: societal
610	Tradition
611	Conformity: rules
612	Conformity: interpersonal
613	Humility
614	Benevolence: caring
615	Benevolence: dependability
616	Universalism: concern
617	Universalism: nature
618	Universalism: tolerance
619	Universalism: objectivity
620	Self-direction: thought
621	Self-direction: action
622	Stimulation
623	Hedonism
624	Achievement
625	Power: dominance
626	Power: resources
627	Face
628	Security: personal
629	Security: societal
630	Tradition
631	Conformity: rules
632	Conformity: interpersonal
633	Humility
634	Benevolence: caring
635	Benevolence: dependability
636	Universalism: concern
637	Universalism: nature
638	Universalism: tolerance
639	Universalism: objectivity
640	Self-direction: thought
641	Self-direction: action
642	Stimulation
643	Hedonism
644	Achievement
645	Power: dominance
646	Power: resources
647	Face
648	Security: personal
649	Security: societal
650	Tradition
651	Conformity: rules
652	Conformity: interpersonal
653	Humility
654	Benevolence: caring
655	Benevolence: dependability
656	Universalism: concern
657	Universalism: nature
658	Universalism: tolerance
659	Universalism: objectivity
660	Self-direction: thought
661	Self-direction: action
662	Stimulation
663	Hedonism
664	Achievement
665	Power: dominance
666	Power: resources
667	Face
668	Security: personal
669	Security: societal
670	Tradition
671	Conformity: rules
672	Conformity: interpersonal
673	Humility
674	Benevolence: caring
675	Benevolence: dependability
676	Universalism: concern
677	Universalism: nature
678	Universalism: tolerance
679	Universalism: objectivity
680	Self-direction: thought
681	Self-direction: action
682	Stimulation
683	Hedonism
684	Achievement
685	Power: dominance
686	Power: resources
687	Face
688	Security: personal
689	Security: societal
690	Tradition
691	Conformity: rules
692	Conformity: interpersonal
693	Humility
694	Benevolence: caring
695	Benevolence: dependability
696	Universalism: concern
697	Universalism: nature
698	Universalism: tolerance
699	Universalism: objectivity
700	Self-direction: thought
701	Self-direction: action
702	Stimulation
703	Hedonism
704	Achievement
705	Power: dominance
706	Power: resources
707	Face
708	Security: personal
709	Security: societal
710	Tradition
711	Conformity: rules
712	Conformity: interpersonal
713	Humility
714	Benevolence: caring
715	Benevolence: dependability
716	Universalism: concern
717	Universalism: nature
718	Universalism: tolerance
719	Universalism: objectivity
720	Self-direction: thought
721	Self-direction: action
722	Stimulation
723	Hedonism
724	Achievement
725	Power: dominance
726	Power: resources
727	Face
728	Security: personal
729	Security: societal
730	Tradition
731	Conformity: rules
732	Conformity: interpersonal
733	Humility
734	Benevolence: caring
735	Benevolence: dependability
736	Universalism: concern
737	Universalism: nature
738	Universalism: tolerance
739	Universalism: objectivity
740	Self-direction: thought
741	Self-direction: action
742	Stimulation
743	Hedonism
744	Achievement
745	Power: dominance
746	Power: resources
747	Face
748	Security: personal
749	Security: societal
750	Tradition
751	Conformity: rules
752	Conformity: interpersonal
753	Humility
754	Benevolence: caring
755	Benevolence: dependability
756	Universalism: concern
757	Universalism: nature
758	Universalism: tolerance
759	Universalism: objectivity
760	Self-direction: thought
761	Self-direction: action
762	Stimulation
763	Hedonism
764	Achievement
765	Power: dominance
766	Power: resources
767	Face
768	Security: personal
769	Security: societal
770	Tradition
771	Conformity: rules
772	Conformity: interpersonal
773	Humility
774	Benevolence: caring
775	Benevolence: dependability
776	Universalism: concern
777	Universalism: nature
778	Universalism: tolerance
779	Universalism: objectivity
780	Self-direction: thought
781	Self-direction: action
782	Stimulation
783	Hedonism
784	Achievement
785	Power: dominance
786	Power: resources
787	Face
788	Security: personal
789	Security: societal
790	Tradition
791	Conformity: rules
792	Conformity: interpersonal
793	Humility
794	Benevolence: caring
795	Benevolence: dependability
796	Universalism: concern
797	Universalism: nature
798	Universalism: tolerance
799	Universalism: objectivity
800	Self-direction: thought
801	Self-direction: action
802	Stimulation
803	Hedonism
804	Achievement
805	Power: dominance
806	Power: resources
807	Face
808	Security: personal
809	Security: societal
810	Tradition
811	Conformity: rules
812	Conformity: interpersonal
813	Humility
814	Benevolence: caring
815	Benevolence: dependability
816	Universalism: concern
817	Universalism: nature
818	Universalism: tolerance
819	Universalism: objectivity
820	Self-direction: thought
821	Self-direction: action
822	Stimulation
823	Hedonism
824	Achievement
825	Power: dominance
826	Power: resources
827	Face
828	Security: personal
829	Security: societal
830	Tradition
831	Conformity: rules
832	Conformity: interpersonal
833	Humility
834	Benevolence: caring
835	Benevolence: dependability
836	Universalism: concern
837	Universalism: nature
838	Universalism: tolerance
839	Universalism: objectivity
840	Self-direction: thought
841	Self-direction: action
842	Stimulation
843	Hedonism
844	Achievement
845	Power: dominance
846	Power: resources
847	Face
848	Security: personal
849	Security: societal
850	Tradition
851	Conformity: rules
852	Conformity: interpersonal
853	Humility
854	Benevolence: caring
855	Benevolence: dependability
856	Universalism: concern
857	Universalism: nature
858	Universalism: tolerance
859	Universalism: objectivity
860	Self-direction: thought
861	Self-direction: action
862	Stimulation
863	Hedonism
864	Achievement
865	Power: dominance
866	Power: resources
867	Face
868	Security: personal
869	Security: societal
870	Tradition
871	Conformity: rules
872	Conformity: interpersonal
873	Humility
874	Benevolence: caring
875	Benevolence: dependability
876	Universalism: concern
877	Universalism: nature
878	Universalism: tolerance
879	Universalism: objectivity
880	Self-direction: thought
881	Self-direction: action
882	Stimulation
883	Hedonism
884	Achievement
885	Power: dominance
886	Power: resources
887	Face
888	Security: personal
889	Security: societal
890	Tradition
891	Conformity: rules
892	Conformity: interpersonal
893	Humility
894	Benevolence: caring
895	Benevolence: dependability
896	Universalism: concern
897	Universalism: nature
898	Universalism: tolerance
899	Universalism: objectivity
900	Self-direction: thought
901	Self-direction: action
902	Stimulation
903	Hedonism
904	Achievement
905	Power: dominance
906	Power: resources
907	Face
908	Security: personal
909	Security: societal
910	Tradition
911	Conformity: rules
912	Conformity: interpersonal
913	Humility
914	Benevolence: caring
915	Benevolence: dependability
916	Universalism: concern
917	Universalism: nature
918	Universalism: tolerance
919	Universalism: objectivity
920	Self-direction: thought
921	Self-direction: action
922	Stimulation
923	Hedonism
924	Achievement
925	Power: dominance
926	Power: resources
927	Face
928	Security: personal
929	Security: societal
930	Tradition
931	Conformity: rules
932	Conformity: interpersonal
933	Humility
934	Benevolence: caring
935	Benevolence: dependability
936	Universalism: concern
937	Universalism: nature
938	Universalism: tolerance
939	Universalism: objectivity
940	Self-direction: thought
941	Self-direction: action
942	Stimulation
943	Hedonism
944	Achievement
945	Power: dominance
946	Power: resources
947	Face
948	Security: personal
949	Security: societal
950	Tradition
951	Conformity: rules
952	Conformity: interpersonal
953	Humility
954	Benevolence: caring
955	Benevolence: dependability
956	Universalism: concern
957	Universalism: nature
958	Universalism: tolerance
959	Universalism: objectivity
960	Self-direction: thought
961	Self-direction: action
962	Stimulation
963	Hedonism
964	Achievement
965	Power: dominance
966	Power: resources
967	Face
968	Security: personal
969	Security: societal
970	Tradition
971	Conformity: rules
972	Conformity: interpersonal
973	Humility
974	Benevolence: caring
975	Benevolence: dependability
976	Universalism: concern
977	Universalism: nature
978	Universalism: tolerance
979	Universalism: objectivity
980	Self-direction: thought
981	Self-direction: action
982	Stimulation
983	Hedonism
984	Achievement
985	Power: dominance
986	Power: resources
987	Face
988	Security: personal
989	Security: societal
990	Tradition
991	Conformity: rules
992	Conformity: interpersonal
993	Humility
994	Benevolence: caring
995	Benevolence: dependability
996	Universalism: concern
997	Universalism: nature
998	Universalism: tolerance
999	Universalism: objectivity
1000	Self-direction: thought
1001	Self-direction: action
1002	Stimulation
1003	Hedonism
1004	Achievement
1005	Power: dominance
1006	Power: resources
1007	Face
1008	Security: personal
1009	Security: societal
1010	Tradition
1011	Conformity: rules
1012	Conformity: interpersonal
1013	Humility
1014	Benevolence: caring
1015	Benevolence: dependability
1016	Universalism: concern
1017	Universalism: nature
1018	Universalism: tolerance
1019	Universalism: objectivity
1020	Self-direction: thought
1021	Self-direction: action
1022	Stimulation
1023	Hedonism
1024	Achievement
1025	Power: dominance
1026	Power: resources
1027	Face
1028	Security: personal
1029	Security: societal
1030	Tradition
1031	Conformity: rules
1032	Conformity: interpersonal
1033	Humility
1034	Benevolence: caring
1035	Benevolence: dependability
1036	Universalism: concern
1037	Universalism: nature
1038	Universalism: tolerance
1039	Universalism: objectivity
1040	Self-direction: thought
1041	Self-direction: action
1042	Stimulation
1043	Hedonism
1044	Achievement
1045	Power: dominance
1046	Power: resources
1047	Face
1048	Security: personal
1049	Security: societal
1050	Tradition
1051	Conformity: rules
1052	Conformity: interpersonal
1053	Humility
1054	Benevolence: caring
1055	Benevolence: dependability
1056	Universalism: concern
1057	Universalism: nature
1058	Universalism: tolerance
1059	Universalism: objectivity
1060	Self-direction: thought
1061	Self-direction: action
1062	Stimulation
1063	Hedonism
1064	Achievement
1065	Power: dominance
1066	Power: resources
1067	Face
1068	Security: personal
1069	Security: societal
1070	Tradition
1071	Conformity: rules
1072	Conformity: interpersonal
1073	Humility
1074	Benevolence: caring
1075	Benevolence: dependability
1076	Universalism: concern
1077	Universalism: nature
1078	Universalism: tolerance
1079	Universalism: objectivity
1080	Self-direction: thought
1081	Self-direction: action
1082	Stimulation
1083	Hedonism
1084	Achievement
1085	Power: dominance
1086	Power: resources
1087	Face
1088	Security: personal
1089	Security: societal
1090	Tradition
1091	Conformity: rules
1092	Conformity: interpersonal
1093	Humility
1094	Benevolence: caring
1095	Benevolence: dependability
1096	Universalism: concern
1097	Universalism: nature
1098	Universalism: tolerance
1099	Universalism: objectivity
1100	Self-direction: thought
1101	Self-direction: action
1102	Stimulation
1103	Hedonism
1104	Achievement
1105	Power: dominance
1106	Power: resources
1107	Face
1108	Security: personal
1109	Security: societal
1110	Tradition
1111	Conformity: rules
1112	Conformity: interpersonal
1113	Humility
1114	Benevolence: caring
1115	Benevolence: dependability
1116	Universalism: concern
1117	Universalism: nature
1118	Universalism: tolerance
1119	Universalism: objectivity
1120	Self-direction: thought
1121	Self-direction: action
1122	Stimulation
1123	Hedonism
1124	Achievement
1125	Power: dominance
1126	Power: resources
1127	Face
1128	Security: personal
1129	Security: societal
1130	Tradition
1131	Conformity: rules
1132	Conformity: interpersonal
1133	Humility
1134	Benevolence: caring
1135	Benevolence: dependability
1136	Universalism: concern
1137	Universalism: nature
1138	Universalism: tolerance
1139	Universalism: objectivity
1140	Self-direction: thought
1141	Self-direction: action
1142	Stimulation
1143	Hedonism
1144	Achievement
1145	Power: dominance
1146	Power: resources
1147	Face
1148	Security: personal
1149	Security: societal
1150	Tradition
1151	Conformity: rules
1152	Conformity: interpersonal
1153	Humility
1154	Benevolence: caring
1155	Benevolence: dependability
1156	Universalism: concern
1157	Universalism: nature
1158	Universalism: tolerance
1159	Universalism: objectivity
1160	Self-direction: thought
1161	Self-direction: action
1162	Stimulation
1163	Hedonism
1164	Achievement
1165	Power: dominance
1166	Power: resources
1167	Face
1168	Security: personal
1169	Security: societal
1170	Tradition
1171	Conformity: rules
1172	Conformity: interpersonal
1173	Humility
1174	Benevolence: caring
1175	Benevolence: dependability
1176	Universalism: concern
1177	Universalism: nature
1178	Universalism: tolerance
1179	Universalism: objectivity
1180	Self-direction: thought
1181	Self-direction: action
1182	Stimulation
1183	Hedonism
1184	Achievement
1185	Power: dominance
1186	Power: resources
1187	Face
1188	Security: personal
1189	Security: societal
1190	Tradition
1191	Conformity: rules
1192	Conformity: interpersonal
1193	Humility
1194	Benevolence: caring
1195	Benevolence: dependability
1196	Universalism: concern
1197	Universalism: nature
1198	Universalism: tolerance
1199	Universalism: objectivity
1200	Self-direction: thought
1201	Self-direction: action
1202	Stimulation
1203	Hedonism
1204	Achievement
1205	Power: dominance
1206	Power: resources
1207	Face
1208	Security: personal
1209	Security: societal
1210	Tradition
1211	Conformity: rules
1212	Conformity: interpersonal
1213	Humility
1214	Benevolence: caring
1215	Benevolence: dependability
1216	Universalism: concern
1217	Universalism: nature
1218	Universalism: tolerance
1219	Universalism: objectivity
1220	Self-direction: thought
1221	Self-direction: action
1222	Stimulation
1223	Hedonism
1224	Achievement
1225	Power: dominance
1226	Power: resources
1227	Face
1228	Security: personal
1229	Security: societal
1230	Tradition
1231	Conformity: rules
1232	Conformity: interpersonal
1233	Humility
1234	Benevolence: caring
1235	Benevolence: dependability
1236	Universalism: concern
1237	Universalism: nature
1238	Universalism: tolerance
1239	Universalism: objectivity
1240	Self-direction: thought
1241	Self-direction: action
1242	Stimulation
1243	Hedonism
1244	Achievement
1245	Power: dominance
1246	Power: resources
1247	Face
1248	Security: personal
1249	Security: societal
1250	Tradition
1251	Conformity: rules
1252	Conformity: interpersonal
1253	Humility
1254	Benevolence: caring
1255	Benevolence: dependability
1256	Universalism: concern
1257	Universalism: nature
1258	Universalism: tolerance
1259	Universalism: objectivity
1260	Self-direction: thought
1261	Self-direction: action
1262	Stimulation
1263	Hedonism
1264	Achievement
1265	Power: dominance
1266	Power: resources
1267	Face
1268	Security: personal
1269	Security: societal
1270	Tradition
1271	Conformity: rules
1272	Conformity: interpersonal
1273	Humility
1274	Benevolence: caring
1275	Benevolence: dependability
1276	Universalism: concern
1277	Universalism: nature
1278	Universalism: tolerance
1279	Universalism: objectivity
1280	Self-direction: thought
1281	Self-direction: action
1282	Stimulation
1283	Hedonism
1284	Achievement
1285	Power: dominance
1286	Power: resources
1287	Face
1288	Security: personal
1289	Security: societal
1290	Tradition
1291	Conformity: rules
1292	Conformity: interpersonal
1293	Humility
1294	Benevolence: caring
1295	Benevolence: dependability
1296	Universalism: concern
1297	Universalism: nature
1298	Universalism: tolerance
1299	Universalism: objectivity
1300	Self-direction: thought
1301	Self-direction: action
1302	Stimulation
1303	Hedonism
1304	Achievement
1305	Power: dominance
1306	Power: resources
1307	Face
1308	Security: personal
1309	Security: societal
1310	Tradition
1311	Conformity: rules
1312	Conformity: interpersonal
1313	Humility
1314	Benevolence: caring
1315	Benevolence: dependability
1316	Universalism: concern
1317	Universalism: nature
1318	Universalism: tolerance
1319	Universalism: objectivity
1320	Self-direction: thought
1321	Self-direction: action
1322	Stimulation
1323	Hedonism
1324	Achievement
1325	Power: dominance
1326	Power: resources
1327	Face
1328	Security: personal
1329	Security: societal
1330	Tradition
1331	Conformity: rules
1332	Conformity: interpersonal
1333	Humility
1334	Benevolence: caring
1335	Benevolence: dependability
1336	Universalism: concern
1337	Universalism: nature
1338	Universalism: tolerance
1339	Universalism: objectivity
1340	Self-direction: thought
1341	Self-direction: action
1342	Stimulation
1343	Hedonism
1344	Achievement
1345	Power: dominance
1346	Power: resources
1347	Face
1348	Security: personal
1349	Security: societal
1350	Tradition
1351	Conformity: rules
1352	Conformity: interpersonal
1353	Humility
1354	Benevolence: caring
1355	Benevolence: dependability
1356	Universalism: concern
1357	Universalism: nature
1358	Universalism: tolerance
1359	Universalism: objectivity
1360	Self-direction: thought
1361	Self-direction: action
1362	Stimulation
1363	Hedonism
1364	Achievement
1365	Power: dominance
1366	Power: resources
1367	Face
1368	Security: personal
1369	Security: societal
1370	Tradition
1371	Conformity: rules
1372	Conformity: interpersonal
1373	Humility
1374	Benevolence: caring
1375	Benevolence: dependability
1376	Universalism: concern
1377	Universalism: nature
1378	Universalism: tolerance
1379	Universalism: objectivity
1380	Self-direction: thought
1381	Self-direction: action
1382	Stimulation
1383	Hedonism
1384	Achievement
1385	Power: dominance
1386	Power: resources
1387	Face
1388	Security: personal
1389	Security: societal
1390	Tradition
1391	Conformity: rules
1392	Conformity: interpersonal
1393	Humility
1394	Benevolence: caring
1395	Benevolence: dependability
1396	Universalism: concern
1397	Universalism: nature
1398	Universalism: tolerance
1399	Universalism: objectivity
1400	Self-direction: thought
1401	Self-direction: action
1402	Stimulation
1403	Hedonism
1404	Achievement
1405	Power: dominance
1406	Power: resources
1407	Face
1408	Security: personal
1409	Security: societal
1410	Tradition
1411	Conformity: rules
1412	Conformity: interpersonal
1413	Humility
1414	Benevolence: caring
1415	Benevolence: dependability
1416	Universalism: concern
1417	Universalism: nature
1418	Universalism: tolerance
1419	Universalism: objectivity
1420	Self-direction: thought
1421	Self-direction: action
1422	Stimulation
1423	Hedonism
1424	Achievement
1425	Power: dominance
1426	Power: resources
1427	Face
1428	Security: personal
1429	Security: societal
1430	Tradition
1431	Conformity: rules
1432	Conformity: interpersonal
1433	Humility
1434	Benevolence: caring
1435	Benevolence: dependability
1436	Universalism: concern
1437	Universalism: nature
1438	Universalism: tolerance
1439	Universalism: objectivity
1440	Self-direction: thought
1441	Self-direction: action
1442	Stimulation
1443	Hedonism
1444	Achievement
1445	Power: dominance
1446	Power: resources
1447	Face
1448	Security: personal
1449	Security: societal
1450	Tradition
1451	Conformity: rules
1452	Conformity: interpersonal
1453	Humility
1454	Benevolence: caring
1455	Benevolence: dependability
1456	Universalism: concern
1457	Universalism: nature
1458	Universalism: tolerance
1459	Universalism: objectivity
1460	Self-direction: thought
1461	Self-direction: action
